scope,region,leg,day,otp
Week 5,Grand Rapids,overall,Friday,0.0
Week 5,Grand Rapids,overall,Total,0.0
Week 5,Grand Rapids,A-leg,Monday,0.0
Week 5,Grand Rapids,A-leg,Tuesday,0.0
Week 5,Grand Rapids,A-leg,Wednesday,0.0
Week 5,Grand Rapids,A-leg,Thursday,0.0
Week 5,Grand Rapids,A-leg,Friday,0.0
Week 5,Grand Rapids,A-leg,Total,0.0
Week 5,Grand Rapids,B-leg,Monday,0.0
Week 5,Grand Rapids,B-leg,Tuesday,0.0
Week 5,Grand Rapids,B-leg,Wednesday,0.0
Week 5,Grand Rapids,B-leg,Thursday,0.0
Week 5,Grand Rapids,B-leg,Friday,0.0
Week 5,Grand Rapids,B-leg,Total,0.0
Week 5,Lansing,overall,Monday,0.0
Week 5,Lansing,overall,Tuesday,0.0
Week 5,Lansing,overall,Wednesday,0.0
Week 5,Lansing,overall,Thursday,0.0
Week 5,Lansing,overall,Friday,0.0
Week 5,Lansing,overall,Total,0.0
Week 5,Lansing,A-leg,Monday,0.0
Week 5,Lansing,A-leg,Tuesday,0.0
Week 5,Lansing,A-leg,Wednesday,0.0
Week 5,Lansing,A-leg,Thursday,0.0
Week 5,Lansing,A-leg,Friday,0.0
Week 5,Lansing,A-leg,Total,0.0
Week 5,Lansing,B-leg,Monday,0.0
Week 5,Lansing,B-leg,Tuesday,0.0
Week 5,Lansing,B-leg,Wednesday,0.0
Week 5,Lansing,B-leg,Thursday,0.0
Week 5,Lansing,B-leg,Friday,0.0
Week 5,Lansing,B-leg,Total,0.0
Week 5,Total,overall,Monday,0.0
Week 5,Total,overall,Tuesday,0.0
Week 5,Total,overall,Wednesday,0.0
Week 5,Total,overall,Thursday,0.0
Week 5,Total,overall,Friday,0.0
Week 5,Total,overall,Total,0.0
Week 5,Total,A-leg,Monday,0.0
Week 5,Total,A-leg,Tuesday,0.0
Week 5,Total,A-leg,Wednesday,0.0
Week 5,Total,A-leg,Thursday,0.0
Week 5,Total,A-leg,Friday,0.0
Week 5,Total,A-leg,Total,0.0
Week 5,Total,B-leg,Monday,0.0
Week 5,Total,B-leg,Tuesday,0.0
Week 5,Total,B-leg,Wednesday,0.0
Week 5,Total,B-leg,Thursday,0.0
Week 5,Total,B-leg,Friday,0.0
Week 5,Total,B-leg,Total,0.0
Week 5,Grand Rapids,overall,Monday,0.0
Week 5,Grand Rapids,overall,Tuesday,0.0
Week 5,Grand Rapids,overall,Wednesday,0.0
Week 5,Grand Rapids,overall,Thursday,0.0
Week 5,Grand Rapids,overall,Friday,0.0
Week 5,Grand Rapids,overall,Total,0.0
Week 5,Grand Rapids,A-leg,Monday,0.0
Week 5,Grand Rapids,A-leg,Tuesday,0.0
Week 5,Grand Rapids,A-leg,Wednesday,0.0
Week 5,Grand Rapids,A-leg,Thursday,0.0
Week 5,Grand Rapids,A-leg,Friday,0.0
Week 5,Grand Rapids,A-leg,Total,0.0
Week 5,Grand Rapids,B-leg,Monday,0.0
Week 5,Grand Rapids,B-leg,Tuesday,0.0
Week 5,Grand Rapids,B-leg,Wednesday,0.0
Week 5,Grand Rapids,B-leg,Thursday,0.0
Week 5,Grand Rapids,B-leg,Friday,0.0
Week 5,Grand Rapids,B-leg,Total,0.0
Week 5,Lansing,overall,Monday,0.0
Week 5,Lansing,overall,Tuesday,0.0
Week 5,Lansing,overall,Wednesday,0.0
Week 5,Lansing,overall,Thursday,0.0
Week 5,Lansing,overall,Friday,0.0
Week 5,Lansing,overall,Total,0.0
Week 5,Lansing,A-leg,Monday,0.0
Week 5,Lansing,A-leg,Tuesday,0.0
Week 5,Lansing,A-leg,Wednesday,0.0
Week 5,Lansing,A-leg,Thursday,0.0
Week 5,Lansing,A-leg,Friday,0.0
Week 5,Lansing,A-leg,Total,0.0
Week 5,Lansing,B-leg,Monday,0.0
Week 5,Lansing,B-leg,Tuesday,0.0
Week 5,Lansing,B-leg,Wednesday,0.0
Week 5,Lansing,B-leg,Thursday,0.0
Week 5,Lansing,B-leg,Friday,0.0
Week 5,Lansing,B-leg,Total,0.0
