vehicle_utilization,billed_utilization,total_volume_pool,revenue_per_kent_leg,high_acuity_share,non_billable_noshow,road_hours_per_vehicle,contract_concentration,cost_per_road_hour,label_ready_reference
1.20475,1.25525,1.2565090511491128,97.85,0.20024999999999998,0.0495,12.545,0.124,38.75,1
1.3031939399057544,1.3507947552673445,1.3957826981725603,91.6477500521386,0.0859252481621657,0.023880733840188444,11.11952770034201,0.09791549593051793,31.85087753812986,1
0.5512978042773712,1.4218528750896897,1.1631030075745925,39.1591379614667,0.01774581357864881,0.21313172295047028,11.913131760471035,0.304581565612661,81.44371769818966,0
1.20475,1.25525,1.6059999999999999,97.85,0.20024999999999998,0.0495,12.545,0.20428510296105246,38.75,0
1.3931674119665116,1.3160855862416485,1.7481716954929063,84.48245052410671,0.17557243740843628,0.03664527601268259,12.65010247110596,0.11933418952155024,35.19176374129376,1
1.2715453845886207,1.254402500584955,1.9651221163819488,119.75712762842335,0.16900177967752317,0.09465383471251951,15.193687869250068,0.1385575775553709,29.806593993369887,1
1.20475,1.25525,1.6059999999999999,97.85,0.20024999999999998,0.10168157838323498,12.545,0.124,38.75,0
1.20475,1.25525,1.6059999999999999,97.85,0.20024999999999998,0.0495,12.545,0.198,38.75,1
1.2559667329130992,1.0607838057512406,1.7639325818211742,116.74393030103613,0.20724208961942395,0.08405460254807559,11.797638569107626,0.06183863882241026,36.305971751421026,1
1.20475,1.25525,1.6059999999999999,71.2090022354932,0.20024999999999998,0.0495,12.545,0.124,38.75,1
0.510395586730989,1.227698939578155,0.5705566972443283,112.66038910812827,0.07159573831568021,0.09204325462666739,12.785977462694433,0.15445579234152623,30.880176327705044,0
0.914438831938819,0.8117114281936294,0.7724961055236012,51.16803678557283,0.0391729702060144,0.1600569739382448,4.5092767580803566,0.6032347386069434,83.3366847485442,0
1.20475,1.080304130227316,1.6059999999999999,97.85,0.20024999999999998,0.0495,12.545,0.124,38.75,1
1.20475,1.25525,1.6059999999999999,97.85,0.20024999999999998,0.0495,8.737501906180052,0.124,38.75,0
0.5752814525890307,1.2285694300061096,0.6014080227863489,28.760359364244646,0.08274117078777037,0.06063988427469501,4.967532650229967,0.28219957905904675,80.3503410269106,0
1.20475,1.25525,1.6059999999999999,97.85,0.20024999999999998,0.1041006161229021,12.545,0.124,38.75,0
0.74693842877299,0.5024468235495597,1.1958913894133425,61.63667771744779,0.02430653703736182,0.2700965306126373,12.336159656135408,0.6095403281643125,54.70643343095012,0
1.20475,1.25525,1.6059999999999999,70.7,0.20024999999999998,0.0495,12.545,0.124,38.75,1
1.1848992537728487,1.3494925910841356,1.970245942049371,90.89984217435416,0.15517995485836242,0.06103015462510931,10.968775299341052,0.0712025500722784,49.15389915082837,1
1.20475,1.25525,1.6059999999999999,70.7,0.20024999999999998,0.0495,12.545,0.124,38.75,1
1.20475,1.25525,1.6059999999999999,97.85,0.0495,0.0495,12.545,0.124,38.75,0
1.20475,1.25525,1.6059999999999999,97.85,0.20024999999999998,0.09584194090263454,12.545,0.124,38.75,1
